ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-01-01,85.99148149999999,42.261779926139475,200.114151954657,85.99148149999999,85.99148149999999,37.00896512366561,37.00896512366561,37.00896512366561,129.2171637333333,129.2171637333333,129.2171637333333,2.373531230997199,2.373531230997199,2.373531230997199,-94.58172984066492,-94.58172984066492,-94.58172984066492,0.0,0.0,0.0,123.0004466236656
2016-01-02,85.97350009833332,32.378740150689275,203.48201898994589,85.97350009833332,85.97350009833332,30.876840736615996,30.876840736615996,30.876840736615996,129.2171637333333,129.2171637333333,129.2171637333333,-5.323596370334546,-5.323596370334546,-5.323596370334546,-93.01672662638279,-93.01672662638279,-93.01672662638279,0.0,0.0,0.0,116.85034083494932
2016-01-03,85.95551869666666,49.68494184400378,208.25015101091304,85.95551869666666,85.95551869666666,35.964345695131094,35.964345695131094,35.964345695131094,129.2171637333333,129.2171637333333,129.2171637333333,-1.9094387842210998,-1.9094387842210998,-1.9094387842210998,-91.3433792539811,-91.3433792539811,-91.3433792539811,0.0,0.0,0.0,121.91986439179774
2016-01-04,85.93753729499998,36.68920803190768,203.5287227489951,85.93753729499998,85.93753729499998,38.67627938247143,38.67627938247143,38.67627938247143,129.2171637333333,129.2171637333333,129.2171637333333,-0.9556797596127844,-0.9556797596127844,-0.9556797596127844,-89.58520459124911,-89.58520459124911,-89.58520459124911,0.0,0.0,0.0,124.61381667747142
2016-01-05,85.91955589333332,45.168775825036406,193.09321305914503,85.91955589333332,85.91955589333332,33.680300141829036,33.680300141829036,33.680300141829036,129.2171637333333,129.2171637333333,129.2171637333333,-7.7709614279452195,-7.7709614279452195,-7.7709614279452195,-87.76590216355909,-87.76590216355909,-87.76590216355909,0.0,0.0,0.0,119.59985603516236
2016-01-06,85.90157449166665,55.74622966944025,210.0736011136665,85.90157449166665,85.90157449166665,46.80494312686446,46.80494312686446,46.80494312686446,129.2171637333333,129.2171637333333,129.2171637333333,3.4966360177524782,3.4966360177524782,3.4966360177524782,-85.90885662422133,-85.90885662422133,-85.90885662422133,0.0,0.0,0.0,132.7065176185311
2016-01-07,85.88359308999999,69.64795616009899,227.35036795716692,85.88359308999999,85.88359308999999,55.27000253120238,55.27000253120238,55.27000253120238,129.2171637333333,129.2171637333333,129.2171637333333,10.08950909333039,10.08950909333039,10.08950909333039,-84.03667029546133,-84.03667029546133,-84.03667029546133,0.0,0.0,0.0,141.15359562120238
2016-01-08,85.86561168833332,53.082422511345406,218.5421193860356,85.86561168833332,85.86561168833332,49.41995782655169,49.41995782655169,49.41995782655169,129.2171637333333,129.2171637333333,129.2171637333333,2.37353123098571,2.37353123098571,2.37353123098571,-82.17073713776732,-82.17073713776732,-82.17073713776732,0.0,0.0,0.0,135.285569514885
2016-01-09,85.84763028666666,50.113297752347414,211.2483794098467,85.84763028666666,85.84763028666666,43.56269929730178,43.56269929730178,43.56269929730178,129.2171637333333,129.2171637333333,129.2171637333333,-5.323596370323677,-5.323596370323677,-5.323596370323677,-80.33086806570786,-80.33086806570786,-80.33086806570786,0.0,0.0,0.0,129.41032958396843
2016-01-10,85.82964888499998,59.64542369046674,215.45271107990007,85.82964888499998,85.82964888499998,48.772749125775135,48.772749125775135,48.772749125775135,129.2171637333333,129.2171637333333,129.2171637333333,-1.909438784212189,-1.909438784212189,-1.909438784212189,-78.534975823346,-78.534975823346,-78.534975823346,0.0,0.0,0.0,134.60239801077512
